sku_code,cpse_name,depot_location,raw_description,quantity,unit_cost_inr,days_idle,po_no,heat_no,standard,hsn_code,gem_category,mesc_code,cppp_tender_id
IOCL-GLO-00019,IOCL,"Barauni Refinery, Bihar",VLV GL 4IN 1500# ASTM A105 TR16 RTJ,21,20516.04,744,IOCL/PO/2024/679364,HT-B66333,API 602,84818030,GeM/CAT/VALVES/GLOBE/BS1873,77.12.26.15.415.1,CPPP/2025/IOCL_482364
IOCL-CEN-00020,IOCL,"Panipat Refinery, Haryana",MECH SEAL CART 12IN ASTM A743 CF8M API 610,106,130240.39,29,IOCL/PO/2024/532322,HT-A33509,API 610,84139120,GeM/CAT/PUMPS/SPARES/API610,58.10.52.62.921.1,CPPP/2025/IOCL_802448
IOCL-PSV-00021,IOCL,"Paradip Refinery, Odisha",VLV PSV FLG 24IN 150# ORIFICE-G ASTM A216 WCB,119,49388.89,54,IOCL/PO/2024/124813,HT-B62227,ASME SEC VIII,84814000,GeM/CAT/VALVES/SAFETY_RELIEF/API526,77.40.52.45.985.1,CPPP/2025/IOCL_172792
IOCL-GAS-00022,IOCL,"Barauni Refinery, Bihar",GSKT RTJ OCT 12IN 1500# LOW CARBON STEEL,9,3452.95,548,IOCL/PO/2024/378361,HT-A24208,ASME B16.20,84841000,GeM/CAT/GASKETS/RTJ/B16.20,85.20.86.65.453.1,CPPP/2025/IOCL_863934
IOCL-GAS-00023,IOCL,"Guwahati Refinery, Assam",GSKT RTJ OCT 4IN 1500# LOW CARBON STEEL,13,3213.13,898,IOCL/PO/2024/820221,HT-B57739,ASME B16.20,84841000,GeM/CAT/GASKETS/RTJ/B16.20,85.20.65.18.780.1,CPPP/2025/IOCL_446239
IOCL-RED-00024,IOCL,"Guwahati Refinery, Assam",RED CONC 8IN SCH 160 ASTM A234 WPB,85,4260.41,61,IOCL/PO/2024/301158,HT-X97153,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.58.96.866.1,CPPP/2025/IOCL_282480
IOCL-RED-00025,IOCL,"Barauni Refinery, Bihar",RED CONC 1.5IN SCH 80 ASTM A234 WPB,157,4474.37,333,IOCL/PO/2024/808446,HT-B77000,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.70.31.774.1,CPPP/2025/IOCL_188914
IOCL-BAL-00026,IOCL,"Bongaigaon Refinery, Assam",VLV BL 12IN 600# ASTM A351 CF8M 316SS/DEV RF,52,60048.79,28,IOCL/PO/2024/598216,HT-Z19545,API 6D,84818030,GeM/CAT/VALVES/BALL/API6D,77.16.68.63.744.1,CPPP/2025/IOCL_703634
IOCL-CHE-00027,IOCL,"Digboi Refinery, Assam",VLV CHK 16IN 150# ASTM A352 LCB TR8 RF,29,24964.3,546,IOCL/PO/2024/643118,HT-X16582,BS 1868,84813000,GeM/CAT/VALVES/CHECK/API594,77.14.81.41.968.1,CPPP/2025/IOCL_227253
IOCL-ELB-00028,IOCL,"Koyali Refinery, Gujarat",ELB 90 LR 24IN SCH 80 ASTM A403 WP304L,42,3433.46,70,IOCL/PO/2024/980660,HT-C78327,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.72.90.344.1,CPPP/2025/IOCL_387936
IOCL-ELB-00029,IOCL,"Mathura Refinery, Uttar Pradesh",ELB 90 LR 3IN SCH 80 ASTM A420 WPL6,40,2848.92,39,IOCL/PO/2024/840734,HT-B18418,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.63.62.438.1,CPPP/2025/IOCL_668969
IOCL-ELB-00030,IOCL,"Digboi Refinery, Assam",ELB 90 LR 24IN ASTM A403 WP316L,3,3328.61,247,IOCL/PO/2024/994905,HT-X80545,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.79.87.325.1,CPPP/2025/IOCL_611945
IOCL-CHE-00031,IOCL,"Barauni Refinery, Bihar",VLV CHK 12IN 2500# ASTM A216 WCB TR16 RTJ,44,24356.89,1003,IOCL/PO/2024/128276,HT-X87580,API 6D,84813000,GeM/CAT/VALVES/CHECK/API594,77.14.82.94.127.1,CPPP/2025/IOCL_188025
IOCL-STU-00032,IOCL,"Digboi Refinery, Assam",STUD BLT 1IN X 150MM ASTM A193 B7M W/ 2HM NUTS,118,1824.62,267,IOCL/PO/2024/391773,HT-X43065,ASME B16.5,73181500,GeM/CAT/FASTENERS/STUD_BOLTS/B16.5,81.30.20.70.119.1,CPPP/2025/IOCL_885408
IOCL-TEE-00033,IOCL,"Panipat Refinery, Haryana",TEE EQ 20IN SCH 40 ASTM A403 WP304L,9,3567.53,386,IOCL/PO/2024/259784,HT-B26544,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.70.95.217.1,CPPP/2025/IOCL_691364
IOCL-CHE-00034,IOCL,"Haldia Refinery, West Bengal",VLV CHK 10IN 2500# ASTM A351 CF8M TR8 RTJ,43,56589.56,49,IOCL/PO/2024/427110,HT-Z98781,BS 1868,84813000,GeM/CAT/VALVES/CHECK/API594,77.14.58.60.832.1,CPPP/2025/IOCL_307963
IOCL-GAT-00035,IOCL,"Paradip Refinery, Odisha",VLV GT 20IN 1500# ASTM A351 CF8M RTJ,90,65541.57,314,IOCL/PO/2024/172306,HT-Z94874,API 600,84818030,GeM/CAT/VALVES/GATE/API600,77.10.53.11.969.1,CPPP/2025/IOCL_540463
IOCL-PSV-00036,IOCL,"Haldia Refinery, West Bengal",VLV PSV FLG 16IN 300# ORIFICE-K ASTM A351 CF8M,135,117070.95,342,IOCL/PO/2024/965845,HT-Z45179,ASME SEC VIII,84814000,GeM/CAT/VALVES/SAFETY_RELIEF/API526,77.40.51.41.950.1,CPPP/2025/IOCL_190872
IOCL-BAL-00037,IOCL,"Haldia Refinery, West Bengal",VLV BL 12IN 900# ASTM A182 F51 INCONEL/STELLITE RTJ,128,63535.57,51,IOCL/PO/2024/472060,HT-C54608,API 607,84818030,GeM/CAT/VALVES/BALL/API6D,77.16.45.86.818.1,CPPP/2025/IOCL_389688
IOCL-TEE-00038,IOCL,"Panipat Refinery, Haryana",TEE EQ 16IN SCH 40 ASTM A420 WPL6,63,4486.58,70,IOCL/PO/2024/197573,HT-C39045,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.61.98.349.1,CPPP/2025/IOCL_421080
IOCL-STU-00039,IOCL,"Guwahati Refinery, Assam",STUD BLT 1-1/8IN X 180MM ASTM A193 B8M W/ 8M NUTS,71,2162.57,49,IOCL/PO/2024/856321,HT-B51359,ASME B18.2.1,73181500,GeM/CAT/FASTENERS/STUD_BOLTS/B16.5,81.30.25.78.880.1,CPPP/2025/IOCL_823688
IOCL-GLO-00040,IOCL,"Paradip Refinery, Odisha",VLV GL 10IN 1500# ASTM A105 TR8 RTJ,27,27561.49,246,IOCL/PO/2024/288158,HT-C11854,API 602,84818030,GeM/CAT/VALVES/GLOBE/BS1873,77.12.78.26.380.1,CPPP/2025/IOCL_147726
IOCL-FLA-00041,IOCL,"Bongaigaon Refinery, Assam",FLG SWRF 3/4IN 150# ASTM A182 F304L,89,5228.91,121,IOCL/PO/2024/219629,HT-A62521,ASME B16.5,73072100,GeM/CAT/FLANGES/ASME/B16.5,74.20.72.19.690.1,CPPP/2025/IOCL_760021
IOCL-STU-00042,IOCL,"Panipat Refinery, Haryana",STUD BLT 7/8IN X 180MM ASTM A193 B8M W/ 8M NUTS,154,1904.56,289,IOCL/PO/2024/411797,HT-Z66207,ASME B16.5,73181500,GeM/CAT/FASTENERS/STUD_BOLTS/B16.5,81.30.49.82.735.1,CPPP/2025/IOCL_163156
IOCL-RED-00043,IOCL,"Mathura Refinery, Uttar Pradesh",RED CONC 2IN SCH 160 ASTM A420 WPL6,63,3206.14,32,IOCL/PO/2024/528361,HT-X87832,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.70.47.133.1,CPPP/2025/IOCL_342720
IOCL-BAL-00044,IOCL,"Barauni Refinery, Bihar",VLV BL 1.5IN 600# ASTM A182 F51 316SS/DEV RF,162,77620.23,85,IOCL/PO/2024/671015,HT-B94886,API 607,84818030,GeM/CAT/VALVES/BALL/API6D,77.16.29.44.946.1,CPPP/2025/IOCL_249145
IOCL-GAT-00045,IOCL,"Panipat Refinery, Haryana",VLV GT 24IN 1500# ASTM A351 CF8M TR16 RTJ,114,69199.48,334,IOCL/PO/2024/833723,HT-X45683,ASME B16.34,84818030,GeM/CAT/VALVES/GATE/API600,77.10.74.79.605.1,CPPP/2025/IOCL_559023
IOCL-GAT-00046,IOCL,"Panipat Refinery, Haryana",VLV GT 2IN 150# ASTM A350 LF2 TR8 FF,149,40993.43,1149,IOCL/PO/2024/961322,HT-C85529,ASME B16.34,84818030,GeM/CAT/VALVES/GATE/API600,77.10.15.32.581.1,CPPP/2025/IOCL_644173
IOCL-STU-00047,IOCL,"Haldia Refinery, West Bengal",STUD BLT 1-1/2IN X 260MM ASTM A193 B16 W/ 7 NUTS,84,2656.52,177,IOCL/PO/2024/827369,HT-X47777,ASME B18.2.1,73181500,GeM/CAT/FASTENERS/STUD_BOLTS/B16.5,81.30.94.61.933.1,CPPP/2025/IOCL_897441
IOCL-TEE-00048,IOCL,"Panipat Refinery, Haryana",TEE EQ 3/4IN SCH 80 ASTM A403 WP304L,2,5258.07,79,IOCL/PO/2024/296694,HT-Z57419,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.89.73.740.1,CPPP/2025/IOCL_563513
IOCL-GAS-00049,IOCL,"Panipat Refinery, Haryana",GSKT RTJ OCT 2IN 900# LOW CARBON STEEL,126,4387.44,1011,IOCL/PO/2024/938141,HT-B30758,ASME B16.20,84841000,GeM/CAT/GASKETS/RTJ/B16.20,85.20.49.80.114.1,CPPP/2025/IOCL_679077
IOCL-PIP-00050,IOCL,"Mathura Refinery, Uttar Pradesh",PIPE ERW 12IN SCH 160 ASTM A333 GR.6 BE,76,15664.29,234,IOCL/PO/2024/595158,HT-B69871,ASME B36.10M,73041910,GeM/CAT/PIPES/SEAMLESS/ASME,60.15.80.28.492.1,CPPP/2025/IOCL_299869
IOCL-CEN-00051,IOCL,"Bongaigaon Refinery, Assam",PUMP SHAFT SLEEVE 2IN ASTM A743 CF8M API 610,131,132766.12,655,IOCL/PO/2024/413058,HT-Z86011,API 610,84139120,GeM/CAT/PUMPS/SPARES/API610,58.10.94.72.986.1,CPPP/2025/IOCL_255813
IOCL-ELB-00052,IOCL,"Bongaigaon Refinery, Assam",ELB 90 LR 6IN SCH 160 ASTM A403 WP304L,180,4111.36,291,IOCL/PO/2024/145767,HT-C71993,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.58.59.779.1,CPPP/2025/IOCL_930884
IOCL-PSV-00053,IOCL,"Koyali Refinery, Gujarat",VLV PSV FLG 8IN 1500# ORIFICE-J ASTM A216 WCB,114,66812.21,381,IOCL/PO/2024/251157,HT-X95823,API 526,84814000,GeM/CAT/VALVES/SAFETY_RELIEF/API526,77.40.29.19.580.1,CPPP/2025/IOCL_919488
IOCL-BAL-00054,IOCL,"Guwahati Refinery, Assam",VLV BL 24IN 600# ASTM A182 F51 INCONEL/STELLITE RF,138,79633.05,1007,IOCL/PO/2024/896290,HT-X80912,API 6D,84818030,GeM/CAT/VALVES/BALL/API6D,77.16.14.89.170.1,CPPP/2025/IOCL_346174
IOCL-STU-00055,IOCL,"Barauni Refinery, Bihar",STUD BLT 5/8IN X 220MM ASTM A193 B7 W/ 2H NUTS,78,1679.73,13,IOCL/PO/2024/407618,HT-C59131,ASME B16.5,73181500,GeM/CAT/FASTENERS/STUD_BOLTS/B16.5,81.30.65.28.350.1,CPPP/2025/IOCL_656968
IOCL-PIP-00056,IOCL,"Koyali Refinery, Gujarat",PIPE SMLS 10IN SCH XXS ASTM A333 GR.6 BE,151,13076.12,838,IOCL/PO/2024/366314,HT-X43466,API 5L PSL2,73041910,GeM/CAT/PIPES/SEAMLESS/ASME,60.15.95.11.923.1,CPPP/2025/IOCL_587853
IOCL-CEN-00057,IOCL,"Barauni Refinery, Bihar",MECH SEAL CART 6IN ASTM A743 CF8M API 610,110,100757.37,42,IOCL/PO/2024/503380,HT-X23979,API 610,84139120,GeM/CAT/PUMPS/SPARES/API610,58.10.40.58.685.1,CPPP/2025/IOCL_476395
IOCL-RED-00058,IOCL,"Barauni Refinery, Bihar",RED CONC 2IN SCH 40 ASTM A403 WP304L,14,4294.44,601,IOCL/PO/2024/940886,HT-C38705,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.91.34.735.1,CPPP/2025/IOCL_362801
IOCL-STU-00059,IOCL,"Koyali Refinery, Gujarat",STUD BLT 1/2IN X 180MM ASTM A193 B7 W/ 2H NUTS,35,1858.38,700,IOCL/PO/2024/535686,HT-B36318,ASME B18.2.1,73181500,GeM/CAT/FASTENERS/STUD_BOLTS/B16.5,81.30.26.79.997.1,CPPP/2025/IOCL_483629
IOCL-TEE-00060,IOCL,"Bongaigaon Refinery, Assam",TEE EQ 20IN SCH 80 ASTM A420 WPL6,88,5015.45,24,IOCL/PO/2024/890785,HT-B98647,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.96.60.966.1,CPPP/2025/IOCL_943671
IOCL-TEE-00061,IOCL,"Guwahati Refinery, Assam",TEE EQ 8IN ASTM A403 WP316L,174,4864.3,290,IOCL/PO/2024/213609,HT-B71797,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.13.89.674.1,CPPP/2025/IOCL_443939
IOCL-CEN-00062,IOCL,"Paradip Refinery, Odisha",PUMP IMPELLER 12IN SIC/SIC/FFKM API 610,11,38635.32,48,IOCL/PO/2024/346205,HT-Z27781,API 682,84139120,GeM/CAT/PUMPS/SPARES/API610,58.10.59.68.479.1,CPPP/2025/IOCL_803055
IOCL-GAS-00063,IOCL,"Bongaigaon Refinery, Assam",GSKT SWG 4IN 2500# INCONEL 625/FG,127,9822.66,399,IOCL/PO/2024/488528,HT-B68115,ASME B16.20,84841000,GeM/CAT/GASKETS/SPIRAL_WOUND/B16.20,85.20.66.40.975.1,CPPP/2025/IOCL_480303
IOCL-GAT-00064,IOCL,"Guwahati Refinery, Assam",VLV GT 4IN 600# ASTM A350 LF2 TR8 RF,33,29103.05,68,IOCL/PO/2024/772875,HT-Z12799,API 600,84818030,GeM/CAT/VALVES/GATE/API600,77.10.16.52.349.1,CPPP/2025/IOCL_232040
IOCL-GAS-00065,IOCL,"Paradip Refinery, Odisha",GSKT RTJ OCT 10IN 300# LOW CARBON STEEL,61,4272.19,52,IOCL/PO/2024/390743,HT-B27038,ASME B16.20,84841000,GeM/CAT/GASKETS/RTJ/B16.20,85.20.79.42.917.1,CPPP/2025/IOCL_282973
IOCL-GAT-00066,IOCL,"Panipat Refinery, Haryana",VLV GT 3IN 150# ASTM A351 CF8M TR5 FF,109,46263.33,77,IOCL/PO/2024/599380,HT-X57453,ASME B16.34,84818030,GeM/CAT/VALVES/GATE/API600,77.10.75.85.211.1,CPPP/2025/IOCL_573962
IOCL-TEE-00067,IOCL,"Paradip Refinery, Odisha",TEE EQ 6IN SCH 160 ASTM A234 WPB,17,5461.25,802,IOCL/PO/2024/213206,HT-X68138,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.19.20.429.1,CPPP/2025/IOCL_737846
IOCL-GLO-00068,IOCL,"Mathura Refinery, Uttar Pradesh",VLV GL 16IN 600# ASTM A350 LF2 TR16 RF,154,34959.19,830,IOCL/PO/2024/734836,HT-X22999,API 602,84818030,GeM/CAT/VALVES/GLOBE/BS1873,77.12.99.24.973.1,CPPP/2025/IOCL_786516
IOCL-STU-00069,IOCL,"Bongaigaon Refinery, Assam",STUD BLT 7/8IN X 220MM ASTM A193 B16 W/ 7 NUTS,118,2569.05,61,IOCL/PO/2024/427730,HT-X50963,ASME B18.2.1,73181500,GeM/CAT/FASTENERS/STUD_BOLTS/B16.5,81.30.95.42.483.1,CPPP/2025/IOCL_260053
IOCL-STU-00070,IOCL,"Haldia Refinery, West Bengal",STUD BLT 5/8IN X 120MM ASTM A193 B7 W/ 2H NUTS,35,2194.92,966,IOCL/PO/2024/688967,HT-C97819,ASME B18.2.1,73181500,GeM/CAT/FASTENERS/STUD_BOLTS/B16.5,81.30.25.62.462.1,CPPP/2025/IOCL_797660
IOCL-GAS-00071,IOCL,"Digboi Refinery, Assam",GSKT RTJ OCT 2IN 1500# LOW CARBON STEEL,28,3421.16,83,IOCL/PO/2024/788637,HT-X39392,ASME B16.20,84841000,GeM/CAT/GASKETS/RTJ/B16.20,85.20.23.54.965.1,CPPP/2025/IOCL_683286
IOCL-BUT-00072,IOCL,"Mathura Refinery, Uttar Pradesh",VLV BFV 24IN 1500# ASTM A352 LCB SS316+STELLITE RTJ,161,37443.65,989,IOCL/PO/2024/969752,HT-C13794,ASME B16.34,84818030,GeM/CAT/VALVES/BUTTERFLY/API609,77.18.33.44.819.1,CPPP/2025/IOCL_899444
IOCL-BAL-00073,IOCL,"Guwahati Refinery, Assam",VLV BL 12IN 900# ASTM A352 LCB 316SS/DEV RTJ,164,23004.61,1130,IOCL/PO/2024/325583,HT-X65028,API 607,84818030,GeM/CAT/VALVES/BALL/API6D,77.16.68.53.261.1,CPPP/2025/IOCL_488028
IOCL-BAL-00074,IOCL,"Guwahati Refinery, Assam",VLV BL 1IN 1500# ASTM A216 WCB 316SS/DEV RTJ,22,22746.91,321,IOCL/PO/2024/609253,HT-Z67939,API 6D,84818030,GeM/CAT/VALVES/BALL/API6D,77.16.63.44.320.1,CPPP/2025/IOCL_891615
IOCL-TEE-00075,IOCL,"Mathura Refinery, Uttar Pradesh",TEE EQ 8IN SCH 80 ASTM A234 WPB,58,4117.26,60,IOCL/PO/2024/416061,HT-B27987,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.42.47.435.1,CPPP/2025/IOCL_225812
IOCL-FLA-00076,IOCL,"Haldia Refinery, West Bengal",FLG WN-RTJ 4IN 1500# ASTM A182 F304L,145,4632.27,772,IOCL/PO/2024/144357,HT-X12456,ASME B16.5,73072100,GeM/CAT/FLANGES/ASME/B16.5,74.20.68.19.982.1,CPPP/2025/IOCL_428267
IOCL-RED-00077,IOCL,"Digboi Refinery, Assam",RED CONC 4IN SCH 80 ASTM A403 WP316L,160,3369.37,280,IOCL/PO/2024/985506,HT-A41891,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.65.85.510.1,CPPP/2025/IOCL_649414
IOCL-GAT-00078,IOCL,"Digboi Refinery, Assam",VLV GT 3IN 300# ASTM A350 LF2 TR8 RF,164,27356.24,356,IOCL/PO/2024/468154,HT-B40968,API 600,84818030,GeM/CAT/VALVES/GATE/API600,77.10.23.28.362.1,CPPP/2025/IOCL_306854
IOCL-GLO-00079,IOCL,"Koyali Refinery, Gujarat",VLV GL 6IN 900# ASTM A216 WCB TR5 RTJ,150,29453.35,260,IOCL/PO/2024/258290,HT-X18950,API 602,84818030,GeM/CAT/VALVES/GLOBE/BS1873,77.12.70.66.746.1,CPPP/2025/IOCL_417530
IOCL-GAS-00080,IOCL,"Barauni Refinery, Bihar",GSKT RTJ OCT 2IN 900# ASTM A182 F316L,16,8779.81,444,IOCL/PO/2024/996840,HT-A90610,ASME B16.20,84841000,GeM/CAT/GASKETS/RTJ/B16.20,85.20.86.74.493.1,CPPP/2025/IOCL_585188
IOCL-RED-00081,IOCL,"Bongaigaon Refinery, Assam",RED CONC 3IN SCH 80 ASTM A234 WPB,40,3916.13,325,IOCL/PO/2024/849014,HT-A76132,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.92.32.140.1,CPPP/2025/IOCL_359778
IOCL-GAS-00082,IOCL,"Haldia Refinery, West Bengal",GSKT SWG 3IN 600# INCONEL 625/FG,101,14293.93,1061,IOCL/PO/2024/154909,HT-C18639,ASME B16.20,84841000,GeM/CAT/GASKETS/SPIRAL_WOUND/B16.20,85.20.52.22.671.1,CPPP/2025/IOCL_811332
IOCL-PIP-00083,IOCL,"Barauni Refinery, Bihar",PIPE SMLS 10IN SCH 80 API 5L GR.B BE,81,11121.17,975,IOCL/PO/2024/188834,HT-C83259,ASME B36.10M,73041910,GeM/CAT/PIPES/SEAMLESS/ASME,60.15.58.92.910.1,CPPP/2025/IOCL_444432
IOCL-PSV-00084,IOCL,"Koyali Refinery, Gujarat",VLV PSV FLG 8IN 600# ORIFICE-D ASTM A216 WCB,48,53627.54,269,IOCL/PO/2024/301332,HT-B28030,ASME SEC VIII,84814000,GeM/CAT/VALVES/SAFETY_RELIEF/API526,77.40.29.19.402.1,CPPP/2025/IOCL_985447
IOCL-GAS-00085,IOCL,"Mathura Refinery, Uttar Pradesh",GSKT RTJ OCT 12IN 600# LOW CARBON STEEL,160,4379.87,26,IOCL/PO/2024/289630,HT-Z31697,ASME B16.20,84841000,GeM/CAT/GASKETS/RTJ/B16.20,85.20.66.15.520.1,CPPP/2025/IOCL_481995
IOCL-STU-00086,IOCL,"Paradip Refinery, Odisha",STUD BLT 7/8IN X 180MM ASTM A193 B8M W/ 8M NUTS,122,1745.25,1060,IOCL/PO/2024/561999,HT-X46932,ASME B18.2.1,73181500,GeM/CAT/FASTENERS/STUD_BOLTS/B16.5,81.30.58.74.640.1,CPPP/2025/IOCL_538997
IOCL-GLO-00087,IOCL,"Paradip Refinery, Odisha",VLV GL 12IN 900# ASTM A352 LCB TR8 RTJ,143,30889.4,359,IOCL/PO/2024/187949,HT-B45755,BS 1873,84818030,GeM/CAT/VALVES/GLOBE/BS1873,77.12.67.75.250.1,CPPP/2025/IOCL_971415
