canonical_id,item_type,size_nb_mm,size_inch,dn_code,pressure_class,metallurgy,facing_end,standard,canonical_description,unspsc_code,gem_category_id
CAN-000023,FLANGE_WELD_NECK,15.0,"1/2""",DN15,600,ASTM A182 F316,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 600, ASTM A182 F316, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000024,FLANGE_WELD_NECK,15.0,"1/2""",DN15,600,ASTM A182 F316,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 600, ASTM A182 F316, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000025,FLANGE_WELD_NECK,15.0,"1/2""",DN15,900,ASTM A105,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 900, ASTM A105, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000026,FLANGE_WELD_NECK,15.0,"1/2""",DN15,900,ASTM A105,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 900, ASTM A105, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000027,FLANGE_WELD_NECK,15.0,"1/2""",DN15,900,ASTM A350 LF2,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 900, ASTM A350 LF2, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000028,FLANGE_WELD_NECK,15.0,"1/2""",DN15,900,ASTM A350 LF2,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 900, ASTM A350 LF2, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000029,FLANGE_WELD_NECK,15.0,"1/2""",DN15,900,ASTM A182 F304,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 900, ASTM A182 F304, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000030,FLANGE_WELD_NECK,15.0,"1/2""",DN15,900,ASTM A182 F304,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 900, ASTM A182 F304, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000031,FLANGE_WELD_NECK,15.0,"1/2""",DN15,900,ASTM A182 F316,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 900, ASTM A182 F316, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000032,FLANGE_WELD_NECK,15.0,"1/2""",DN15,900,ASTM A182 F316,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 900, ASTM A182 F316, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000033,FLANGE_WELD_NECK,15.0,"1/2""",DN15,1500,ASTM A105,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 1500, ASTM A105, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000034,FLANGE_WELD_NECK,15.0,"1/2""",DN15,1500,ASTM A105,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 1500, ASTM A105, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000035,FLANGE_WELD_NECK,15.0,"1/2""",DN15,1500,ASTM A350 LF2,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 1500, ASTM A350 LF2, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000036,FLANGE_WELD_NECK,15.0,"1/2""",DN15,1500,ASTM A350 LF2,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 1500, ASTM A350 LF2, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000037,FLANGE_WELD_NECK,15.0,"1/2""",DN15,1500,ASTM A182 F304,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 1500, ASTM A182 F304, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000038,FLANGE_WELD_NECK,15.0,"1/2""",DN15,1500,ASTM A182 F304,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 1500, ASTM A182 F304, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000039,FLANGE_WELD_NECK,15.0,"1/2""",DN15,1500,ASTM A182 F316,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 1500, ASTM A182 F316, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000040,FLANGE_WELD_NECK,15.0,"1/2""",DN15,1500,ASTM A182 F316,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 1500, ASTM A182 F316, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000041,FLANGE_WELD_NECK,25.0,"1""",DN25,150,ASTM A105,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 150, ASTM A105, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000042,FLANGE_WELD_NECK,25.0,"1""",DN25,150,ASTM A105,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 150, ASTM A105, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000043,FLANGE_WELD_NECK,25.0,"1""",DN25,150,ASTM A350 LF2,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 150, ASTM A350 LF2, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000044,FLANGE_WELD_NECK,25.0,"1""",DN25,150,ASTM A350 LF2,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 150, ASTM A350 LF2, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000045,FLANGE_WELD_NECK,25.0,"1""",DN25,150,ASTM A182 F304,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 150, ASTM A182 F304, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000046,FLANGE_WELD_NECK,25.0,"1""",DN25,150,ASTM A182 F304,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 150, ASTM A182 F304, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000047,FLANGE_WELD_NECK,25.0,"1""",DN25,150,ASTM A182 F316,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 150, ASTM A182 F316, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000048,FLANGE_WELD_NECK,25.0,"1""",DN25,150,ASTM A182 F316,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 150, ASTM A182 F316, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000049,FLANGE_WELD_NECK,25.0,"1""",DN25,300,ASTM A105,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 300, ASTM A105, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000050,FLANGE_WELD_NECK,25.0,"1""",DN25,300,ASTM A105,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 300, ASTM A105, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000051,FLANGE_WELD_NECK,25.0,"1""",DN25,300,ASTM A350 LF2,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 300, ASTM A350 LF2, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000052,FLANGE_WELD_NECK,25.0,"1""",DN25,300,ASTM A350 LF2,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 300, ASTM A350 LF2, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000053,FLANGE_WELD_NECK,25.0,"1""",DN25,300,ASTM A182 F304,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 300, ASTM A182 F304, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000054,FLANGE_WELD_NECK,25.0,"1""",DN25,300,ASTM A182 F304,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 300, ASTM A182 F304, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000055,FLANGE_WELD_NECK,25.0,"1""",DN25,300,ASTM A182 F316,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 300, ASTM A182 F316, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000056,FLANGE_WELD_NECK,25.0,"1""",DN25,300,ASTM A182 F316,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 300, ASTM A182 F316, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000057,FLANGE_WELD_NECK,25.0,"1""",DN25,600,ASTM A105,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 600, ASTM A105, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000058,FLANGE_WELD_NECK,25.0,"1""",DN25,600,ASTM A105,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 600, ASTM A105, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000059,FLANGE_WELD_NECK,25.0,"1""",DN25,600,ASTM A350 LF2,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 600, ASTM A350 LF2, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000060,FLANGE_WELD_NECK,25.0,"1""",DN25,600,ASTM A350 LF2,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 600, ASTM A350 LF2, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000061,FLANGE_WELD_NECK,25.0,"1""",DN25,600,ASTM A182 F304,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 600, ASTM A182 F304, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000062,FLANGE_WELD_NECK,25.0,"1""",DN25,600,ASTM A182 F304,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 600, ASTM A182 F304, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000063,FLANGE_WELD_NECK,25.0,"1""",DN25,600,ASTM A182 F316,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 600, ASTM A182 F316, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000064,FLANGE_WELD_NECK,25.0,"1""",DN25,600,ASTM A182 F316,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 600, ASTM A182 F316, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000065,FLANGE_WELD_NECK,25.0,"1""",DN25,900,ASTM A105,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 900, ASTM A105, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000066,FLANGE_WELD_NECK,25.0,"1""",DN25,900,ASTM A105,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 900, ASTM A105, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000067,FLANGE_WELD_NECK,25.0,"1""",DN25,900,ASTM A350 LF2,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 900, ASTM A350 LF2, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000068,FLANGE_WELD_NECK,25.0,"1""",DN25,900,ASTM A350 LF2,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 900, ASTM A350 LF2, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000069,FLANGE_WELD_NECK,25.0,"1""",DN25,900,ASTM A182 F304,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 900, ASTM A182 F304, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000070,FLANGE_WELD_NECK,25.0,"1""",DN25,900,ASTM A182 F304,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 900, ASTM A182 F304, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000071,FLANGE_WELD_NECK,25.0,"1""",DN25,900,ASTM A182 F316,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 900, ASTM A182 F316, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000072,FLANGE_WELD_NECK,25.0,"1""",DN25,900,ASTM A182 F316,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 900, ASTM A182 F316, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000073,FLANGE_WELD_NECK,25.0,"1""",DN25,1500,ASTM A105,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 1500, ASTM A105, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000074,FLANGE_WELD_NECK,25.0,"1""",DN25,1500,ASTM A105,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 1500, ASTM A105, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000075,FLANGE_WELD_NECK,25.0,"1""",DN25,1500,ASTM A350 LF2,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 1500, ASTM A350 LF2, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000076,FLANGE_WELD_NECK,25.0,"1""",DN25,1500,ASTM A350 LF2,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 1500, ASTM A350 LF2, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000077,FLANGE_WELD_NECK,25.0,"1""",DN25,1500,ASTM A182 F304,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 1500, ASTM A182 F304, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000078,FLANGE_WELD_NECK,25.0,"1""",DN25,1500,ASTM A182 F304,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 1500, ASTM A182 F304, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000079,FLANGE_WELD_NECK,25.0,"1""",DN25,1500,ASTM A182 F316,RF,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 1500, ASTM A182 F316, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000080,FLANGE_WELD_NECK,25.0,"1""",DN25,1500,ASTM A182 F316,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1"" (DN25), CLASS 1500, ASTM A182 F316, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000081,FLANGE_WELD_NECK,40.0,"1.5""",DN40,150,ASTM A105,RF,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 150, ASTM A105, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000082,FLANGE_WELD_NECK,40.0,"1.5""",DN40,150,ASTM A105,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 150, ASTM A105, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000083,FLANGE_WELD_NECK,40.0,"1.5""",DN40,150,ASTM A350 LF2,RF,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 150, ASTM A350 LF2, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000084,FLANGE_WELD_NECK,40.0,"1.5""",DN40,150,ASTM A350 LF2,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 150, ASTM A350 LF2, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000085,FLANGE_WELD_NECK,40.0,"1.5""",DN40,150,ASTM A182 F304,RF,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 150, ASTM A182 F304, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000086,FLANGE_WELD_NECK,40.0,"1.5""",DN40,150,ASTM A182 F304,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 150, ASTM A182 F304, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000087,FLANGE_WELD_NECK,40.0,"1.5""",DN40,150,ASTM A182 F316,RF,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 150, ASTM A182 F316, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000088,FLANGE_WELD_NECK,40.0,"1.5""",DN40,150,ASTM A182 F316,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 150, ASTM A182 F316, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000089,FLANGE_WELD_NECK,40.0,"1.5""",DN40,300,ASTM A105,RF,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 300, ASTM A105, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000090,FLANGE_WELD_NECK,40.0,"1.5""",DN40,300,ASTM A105,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 300, ASTM A105, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000091,FLANGE_WELD_NECK,40.0,"1.5""",DN40,300,ASTM A350 LF2,RF,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 300, ASTM A350 LF2, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000092,FLANGE_WELD_NECK,40.0,"1.5""",DN40,300,ASTM A350 LF2,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 300, ASTM A350 LF2, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000093,FLANGE_WELD_NECK,40.0,"1.5""",DN40,300,ASTM A182 F304,RF,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 300, ASTM A182 F304, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000094,FLANGE_WELD_NECK,40.0,"1.5""",DN40,300,ASTM A182 F304,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 300, ASTM A182 F304, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000095,FLANGE_WELD_NECK,40.0,"1.5""",DN40,300,ASTM A182 F316,RF,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 300, ASTM A182 F316, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000096,FLANGE_WELD_NECK,40.0,"1.5""",DN40,300,ASTM A182 F316,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 300, ASTM A182 F316, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000097,FLANGE_WELD_NECK,40.0,"1.5""",DN40,600,ASTM A105,RF,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 600, ASTM A105, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000098,FLANGE_WELD_NECK,40.0,"1.5""",DN40,600,ASTM A105,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 600, ASTM A105, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000099,FLANGE_WELD_NECK,40.0,"1.5""",DN40,600,ASTM A350 LF2,RF,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 600, ASTM A350 LF2, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000100,FLANGE_WELD_NECK,40.0,"1.5""",DN40,600,ASTM A350 LF2,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 600, ASTM A350 LF2, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000101,FLANGE_WELD_NECK,40.0,"1.5""",DN40,600,ASTM A182 F304,RF,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 600, ASTM A182 F304, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000102,FLANGE_WELD_NECK,40.0,"1.5""",DN40,600,ASTM A182 F304,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 600, ASTM A182 F304, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000103,FLANGE_WELD_NECK,40.0,"1.5""",DN40,600,ASTM A182 F316,RF,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 600, ASTM A182 F316, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000104,FLANGE_WELD_NECK,40.0,"1.5""",DN40,600,ASTM A182 F316,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 600, ASTM A182 F316, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000105,FLANGE_WELD_NECK,40.0,"1.5""",DN40,900,ASTM A105,RF,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 900, ASTM A105, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000106,FLANGE_WELD_NECK,40.0,"1.5""",DN40,900,ASTM A105,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1.5"" (DN40), CLASS 900, ASTM A105, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
